CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
2397	LOBSTER	lobster	1.00	5.08	2.38	1.92	0.25	753
2401	PICTURE	picture	0.20	3.33	2.69	1.00	1.33	939
2402	ROBIN	robin	2.98	4.23	1.07	3.39	1.48	1056
2403	TOY	toy	2.81	2.78	4.05	1.74	2.93	1284
2406	HOME	home	2.15	2.14	2.41	0.82	4.50	610
2408	CAKE	cake	0.50	3.64	3.58	0.18	3.73	201
2425	PROBLEM	problem	0.94	0.23	2.37	0.33	-3.31	985
2428	LIBRARY	library	1.50	1.46	1.36	0.42	0.83	735
2433	THEORY	theory	0.74	0.10	2.28	0.25	0.94	1252
2440	PINEAPPLE	pineapple	0.33	4.96	2.20	0.16	2.07	947
245	BROOM	broom	1.42	2.00	2.92	1.50	-1.17	173
2457	PATH OR ROAD	way	0.37	0.19	1.21	0.60	0.82	1349
2468	BAG	bag	1.25	1.83	2.79	0.68	0.05	74
249	FOG	fog	0.20	2.09	0.42	1.08	-0.58	492
2502	GONG	gong	5.28	2.06	3.47	1.64	0.10	546
2505	BEDROOM	bedroom	2.18	1.60	3.21	0.73	2.92	105
2510	PORCUPINE	porcupine	1.40	2.57	1.07	2.56	-0.68	972
2524	JOY	joy	2.35	1.32	1.97	1.24	5.19	681
2526	POWER	power	2.10	1.03	2.86	1.46	1.90	976
2532	TORNADO	tornado	4.85	2.49	0.79	5.42	-3.02	1278
2540	LIME (MATERIAL)	lime	0.38	4.80	2.36	0.18	0.75	742
2547	CITY	city	4.90	2.27	1.15	3.82	1.09	271
2548	BARREL	barrel	0.64	2.36	1.93	0.58	-0.42	92
2549	VEHICLE	vehicle	4.09	2.58	4.25	4.20	1.48	1325
2554	PRINCE (RULER)	prince	2.10	1.91	1.43	2.36	2.92	982
2562	SEX (GENDER)	sex	4.00	1.25	4.24	4.80	3.93	1101
2569	BUTCHER	butcher	2.75	1.91	1.31	3.46	-2.09	188
2570	BEEF	beef	0.69	2.92	3.07	0.58	0.17	107
2578	PENCIL	pencil	1.50	3.20	4.57	1.80	0.50	923
2584	BENCH	bench	0.67	1.45	1.83	0.15	-0.15	115
2587	DARTS	dart	1.74	2.41	3.76	3.21	0.34	349
2590	HARMONICA	harmonica	4.83	1.85	4.21	1.42	1.40	584
2591	RHINOCEROS	rhino	2.68	3.52	1.10	2.54	0.03	1045
2597	HARP	harp	4.73	2.44	3.91	1.20	1.85	585
2603	ACCORDION	accordion	4.66	2.44	4.97	1.96	0.28	3
2605	ASPARAGUS	asparagus	0.30	4.63	2.37	0.38	-0.10	54
2618	CAMERA	camera	2.04	2.55	4.00	1.23	2.19	206
2619	CARD	card	1.17	2.00	2.69	1.00	1.17	219
2620	CARRIAGE	carriage	2.50	2.21	2.70	3.07	1.15	224
