CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
345	SAP	sève	719.95	-0.058852541259082	33561
3456	CRAWL OR CREEP	ramper	666.909090909091	-0.2669898222442	29318
3458	SILENCE	silence	596.791666666667	-0.539687120568767	33678
3462	FLAX OR LINEN	lin	694.347826086957	-0.0500753763309614	21575
3466	DANGEROUS	dangereux	601.8	-0.702419898510249	9230
3467	HELP (ASSISTANCE)	aide	571.458333333333	-0.760795005473534	1105
3468	KINDNESS	gentillesse	694.708333333333	-0.232722293609025	17560
352	UNTIE	délier	704.333333333333	-0.0516108967153022	10092
353	STRIKE	frapper	583.739130434783	-0.763121709331167	16834
3543	SAW (SOMETHING)	scier	679.727272727273	0.0836337191723528	33113
355	CUT DOWN	abattre	663.0	-0.174396517865981	48
3552	GREET	saluer	609.695652173913	-0.654123788640419	32817
356	SHEARS	ciseaux	643.142857142857	-0.337180153643812	6532
357	HANG UP	accrocher	715.227272727273	-0.210625645855378	416
360	FAN ACTION	éventer	719.761904761905	-0.241855177619604	14981
3614	PANT	haleter	729.2	0.084597070596028	18406
3615	BLEED	saigner	672.608695652174	-0.458699802884658	32715
3618	STAMP	timbre	592.666666666667	-0.81743200739645	35867
362	STRING	ficelle	658.5	-0.219975621402182	16002
3622	BURN (INJURY)	brûlure	708.666666666667	-0.349194570515005	4910
3624	LEPROSY	lèpre	771.434782608696	0.420094924409423	21402
3626	KNOW	connaître	633.958333333333	-0.494433489000536	7673
3627	SURPRISE (SOMEBODY)	surprendre	727.136363636364	-0.189191178213211	35028
3628	HONOR (SOMEBODY)	honorer	755.208333333333	0.07274248131101	18747
3629	HESITATE	hésiter	635.52	-0.478803113929758	18628
363	DWELL (LIVE, RESIDE)	habiter	705.791666666667	-0.106350164451897	18338
3630	PLAN	projet	647.32	-0.632988246574281	28390
3632	GENEROUS	généreux	662.166666666667	-0.507184552717655	17524
3634	STUBBORN	têtu	589.84	-0.733162331240793	35783
3635	ADULT	adulte	619.72	-0.628471459147171	751
3639	AVOID	éviter	666.541666666667	-0.39944963349716	15017
364	SMEAR	enduire	734.0	-0.0622247554750221	13411
3644	AGREEMENT	accord	565.88	-0.951794262930227	348
3645	PERSUADE	persuader	700.68	-0.148583371519294	26447
3646	PROVERB	proverbe	625.541666666667	-0.620156769593494	28624
3647	TICKLE (SOMEBODY)	chatouiller	728.739130434783	-0.162671717469309	6108
3648	SERVE (SOMEONE)	servir	619.916666666667	-0.597434889959799	33536
3649	PUNISH	punir	639.75	-0.652967308156428	28794
3651	MUSH (FOOD)	bouillie	756.5	0.101650484574621	4457
3653	COOKING POT	marmite	699.041666666667	-0.255092852333339	22422
3657	GRANARY	grenier	678.32	-0.235154067724477	18027
3658	BELLOWS	soufflet	670.409090909091	-0.384178978260918	34093
3664	INHERIT	héritier	730.666666666667	0.0581756581193176	18595
3665	TRAVEL	voyager	645.16	-0.450664102744067	38240
3666	WANDER	errer	694.619047619048	-0.296502386671512	14412
3669	LOAD (SOMETHING)	charger	613.52380952381	-0.723578324349275	6007
