CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1498	TWO	two	20	20	4.239515000000001	1	28467
1499	JUICE	juice	20	20	4.4	1	15007
15	OTTER	otter	19	17	5.47	0.8947368421052632	18999
150	WORRY	worry	18	18	6.61	1	30912
1500	FOUR	four	20	20	4.93222	1	10912
1501	BORE	bore	21	21	8.907281	1	3077
1502	GOAT	goat	19	19	5.21	1	11722
1503	SALIVA	saliva	19	19	8.42	1	23691
1505	SPERM	sperm	21	21	11.14	1	25625
1506	MEASURE	measure	19	19	7.53	1	16746
1507	FRUIT	fruit	19	19	3.63	1	11092
1508	KING	king	19	19	5.42	1	15177
1509	MOSQUITO	mosquito	21	21	6.1	1	17590
151	RAZOR	razor	19	19	7.11	1	22190
1510	CHIN	chin	18	18	4.22	1	4562
1511	ROOSTER	rooster	18	17	6.41	0.9444444444444444	23445
1514	HEN	hen	18	18	6.39	1	12731
1515	TEN	ten	21	21	3.578781	1	27314
1517	WASP	wasp	20	19	5.58	0.95	30314
